id_pedido,id_cliente,fecha_pedido,monto,estado
PED7000,CL1138,2024-11-28,1984.03,Enviado
PED7002,CL1067,2024-07-13,433.46,Cancelado
PED7003,CL1097,2025-05-02,352.01,Cancelado
PED7004,CL1068,2024-12-20,1182.84,Enviado
PED7005,CL1030,2024-04-02,2154.6,Preparacion
PED7006,CL1091,2025-03-05,1921.17,Enviado
PED7007,CL1086,2024-10-21,1402.07,Preparacion
PED7008,CL1002,2024-08-04,404.61,Preparacion
PED7009,CL1084,2024-03-30,987.29,Pendiente
PED7010,CL1059,2024-06-16,1802.57,Cancelado
PED7011,CL1084,2024-04-25,942.93,Cancelado
PED7012,CL1009,2024-07-02,112.21,Entregado
PED7014,CL1139,2025-01-05,1804.53,Preparacion
PED7015,CL1086,2024-10-25,1791.21,Preparacion
PED7016,CL1085,2024-10-25,424.69,Cancelado
PED7017,CL1086,2024-12-14,849.94,Enviado
PED7019,CL1043,2024-04-04,1059.9,Preparacion
PED7022,CL1046,2024-11-23,1273.98,Cancelado
PED7024,CL1097,2025-02-01,1430.08,Entregado
PED7026,CL1090,2025-02-04,2320.08,Cancelado
PED7027,CL1074,2025-01-01,1501.24,Entregado
PED7028,CL1058,2024-02-26,2437.36,Preparacion
PED7029,CL1058,2024-01-10,2170.43,Enviado
PED7030,CL1016,2024-09-11,1688.96,Enviado
PED7031,CL1121,2024-01-10,2249.79,Preparacion
PED7032,CL1050,2024-11-15,2478.23,Enviado
PED7033,CL1056,2025-04-23,563.88,Entregado
PED7034,CL1119,2024-12-21,1732.28,Pendiente
PED7036,CL1033,2024-07-24,58.24,Cancelado
PED7037,CL1121,2024-02-02,2001.73,Preparacion
PED7038,CL1085,2024-03-24,237.17,Preparacion
PED7039,CL1108,2025-01-01,2292.64,Enviado
PED7040,CL9999,2025-05-02,1535.85,Enviado
PED7041,CL1106,2024-02-18,417.74,Cancelado
PED7042,CL1065,2024-03-08,112.93,Entregado
PED7044,CL1084,2024-11-27,361.64,Preparacion
PED7045,CL1047,2024-04-07,2349.76,Enviado
PED7046,CL1129,2025-03-26,240.8,Entregado
PED7047,CL1124,2024-05-10,2097.38,Pendiente
PED7048,CL1051,2024-05-03,1067.48,Enviado
PED7049,CL1095,2024-04-07,2183.75,Entregado
PED7051,CL1099,2024-05-06,2134.41,Entregado
PED7052,CL1026,2024-08-14,1183.55,Enviado
PED7053,CL1056,2024-01-12,1788.71,Preparacion
PED7054,CL1105,2024-01-19,806.89,Entregado
PED7055,CL1011,2024-02-05,132.23,Entregado
PED7058,CL1056,2024-09-01,917.12,Preparacion
PED7059,CL1024,2024-06-17,1242.16,Cancelado
PED7060,CL1019,2024-10-09,63.23,Cancelado
PED7061,CL1133,2024-03-11,34.21,Pendiente
PED7062,CL1118,2024-12-20,1720.86,Cancelado
PED7064,CL1111,2025-01-11,198.51,Enviado
PED7065,CL1121,2025-05-03,1246.56,Pendiente
PED7066,CL1112,2024-09-11,1799.63,Cancelado
PED7067,CL1065,2025-01-14,2443.26,Cancelado
PED7068,CL1116,2024-09-02,749.06,Pendiente
PED7069,CL1129,2024-10-24,307.03,Cancelado
PED7070,CL1002,2024-12-09,185.31,Cancelado
PED7071,CL1124,2024-11-14,530.66,Cancelado
PED7076,CL1052,2024-08-24,60.35,Cancelado
PED7077,CL1068,2024-02-02,896.26,Entregado
PED7078,CL1075,2024-12-03,2067.4,Enviado
PED7079,CL1138,2025-01-15,769.6,Preparacion
PED7081,CL1125,2025-03-09,1825.91,Cancelado
PED7082,CL1026,2025-03-21,78.51,Enviado
PED7084,CL1020,2025-03-24,360.44,Entregado
PED7085,CL1138,2024-02-07,1797.9,Cancelado
PED7086,CL1027,2024-03-14,957.92,Entregado
PED7087,CL1080,2025-04-13,2172.53,Cancelado
PED7088,CL1112,2024-08-18,2487.48,Cancelado
PED7089,CL1127,2024-10-26,495.41,Pendiente
PED7090,CL1043,2024-09-30,2051.35,Enviado
PED7091,CL1067,2024-04-28,1271.17,Pendiente
PED7092,CL1108,2025-02-24,2414.1,Cancelado
PED7093,CL1119,2024-10-11,1650.35,Preparacion
PED7095,CL1002,2024-05-07,585.37,Cancelado
PED7096,CL1138,2024-04-24,1800.97,Preparacion
PED7097,CL1005,2024-05-05,731.18,Enviado
PED7098,CL1051,2024-03-25,2116.71,Pendiente
PED7099,CL1032,2024-02-13,2443.5,Enviado
PED7101,CL1043,2025-05-11,2387.26,Pendiente
PED7102,CL1110,2024-05-16,905.77,Pendiente
PED7103,CL1003,2025-01-27,1228.46,Enviado
PED7104,CL1099,2024-11-15,2311.35,Pendiente
PED7105,CL1056,2024-06-05,1943.25,Cancelado
PED7106,CL1078,2024-02-18,619.41,Enviado
PED7107,CL1089,2024-05-03,255.68,Preparacion
PED7108,CL1027,2024-04-30,2105.45,Enviado
PED7109,CL1093,2024-01-03,1871.44,Preparacion
PED7110,CL1091,2024-12-14,2147.97,Enviado
PED7112,CL9999,2024-07-09,1237.9,Entregado
PED7113,CL1009,2025-04-14,1170.57,Cancelado
PED7114,CL1048,2024-07-04,797.08,Cancelado
PED7115,CL1078,2025-05-11,849.15,Entregado
PED7117,CL1025,2024-02-29,1886.38,Cancelado
PED7118,CL1107,2024-05-02,2161.68,Entregado
PED7119,CL1128,2024-09-20,2114.58,Entregado
PED7120,CL1085,2025-04-14,1888.54,Enviado
PED7121,CL1086,2024-06-08,841.95,Pendiente
PED7122,CL1135,2024-01-08,1779.47,Enviado
PED7123,CL1124,2025-02-15,2431.97,Pendiente
PED7124,CL1115,2024-02-02,2291.86,Cancelado
PED7125,CL1065,2024-12-25,2429.15,Enviado
PED7126,CL1139,2025-01-13,104.98,Cancelado
PED7129,CL1098,2024-02-10,627.7,Preparacion
PED7130,CL1076,2025-01-30,2112.49,Entregado
PED7131,CL1067,2024-12-09,1879.23,Preparacion
